order_id,order_date,customer_id,customer_segment,region,product_category,product_name,unit_price,quantity,discount_percent,payment_method,delivery_days,delivery_status,customer_rating,total_sales,rating_missing
ORD-00001,2024-04-24,CUST-1055,New,Central,Books,Fiction Novel,168.76,3,0,Wallet,3.0,Delivered,2.0,506.28,False
ORD-00002,2024-08-02,CUST-1087,Regular,South,Sports,Dumbbell Set,2949.27,6,15,UPI,6.0,Delayed,5.0,15041.28,False
ORD-00003,2024-06-25,CUST-1141,Regular,Central,Electronics,Wireless Earbuds,2775.62,3,25,Net Banking,10.0,Cancelled,4.0,6245.14,False
ORD-00004,2024-05-28,CUST-1090,New,East,Fashion,Cotton T-Shirt,423.73,2,25,Credit Card,2.0,Cancelled,4.0,635.6,False
ORD-00005,2024-08-24,CUST-1198,New,South,Books,Self-Help Book,550.6,2,0,Credit Card,7.0,Delayed,4.0,1101.2,False
ORD-00006,2024-06-10,CUST-1143,Premium,East,Beauty,Shampoo,259.21,5,20,Wallet,4.0,Delayed,5.0,1036.84,False
ORD-00007,2024-09-09,CUST-1098,Regular,Central,Sports,Football,1639.39,2,15,COD,2.0,Cancelled,1.0,2786.96,False
ORD-00008,2024-02-28,CUST-1184,Premium,East,Home & Kitchen,Cushion Cover,3047.53,1,20,Wallet,9.0,Delivered,4.0,2438.02,False
ORD-00009,2024-11-23,CUST-1000,Premium,East,Sports,Yoga Mat,3520.92,3,25,COD,9.0,Delivered,4.0,7922.07,False
ORD-00010,2024-01-30,CUST-1032,Premium,West,Electronics,Bluetooth Speaker,5369.35,3,0,Wallet,4.0,Delivered,2.0,16108.05,False
ORD-00011,2024-10-03,CUST-1063,New,North,Home & Kitchen,Cushion Cover,3085.41,4,0,Net Banking,4.0,Delivered,4.0,12341.64,False
ORD-00012,2024-02-06,CUST-1124,New,Central,Sports,Cycling Gloves,1151.42,2,0,UPI,1.0,Cancelled,4.0,2302.84,False
ORD-00013,2024-07-27,CUST-1172,Premium,North,Sports,Cycling Gloves,2048.88,4,25,Credit Card,4.0,Delayed,2.0,6146.64,False
ORD-00014,2024-04-08,CUST-1113,Premium,North,Books,Cookbook,750.44,1,0,Credit Card,4.0,Cancelled,,750.44,True
ORD-00015,2024-07-27,CUST-1067,Regular,East,Sports,Yoga Mat,3885.29,2,0,COD,8.0,Cancelled,5.0,7770.58,False
ORD-00016,2024-04-07,CUST-1149,Regular,Central,Books,Biography,646.4,4,0,Wallet,5.0,Delivered,4.0,2585.6,False
ORD-00017,2024-10-31,CUST-1020,Regular,Central,Electronics,Smartwatch,1216.58,2,0,Wallet,2.0,Cancelled,4.0,2433.16,False
ORD-00018,2024-05-02,CUST-1002,Regular,Central,Home & Kitchen,LED Lamp,913.84,6,5,Wallet,5.0,Delivered,5.0,5208.89,False
ORD-00019,2024-06-27,CUST-1206,Premium,Central,Electronics,Smartwatch,1908.4,3,0,Credit Card,2.0,Cancelled,4.0,5725.2,False
ORD-00020,2024-03-09,CUST-1087,New,East,Grocery,Protein Bar Pack,429.32,6,0,Wallet,5.0,Delayed,2.0,2575.92,False
ORD-00021,2024-05-21,CUST-1180,Regular,Central,Home & Kitchen,Non-stick Pan,549.97,4,25,Credit Card,1.0,Delivered,1.0,1649.91,False
ORD-00022,2024-10-09,CUST-1230,Regular,South,Electronics,Smartphone Case,3637.07,3,15,UPI,3.0,Cancelled,5.0,9274.53,False
ORD-00023,2024-03-20,CUST-1085,Regular,South,Electronics,Bluetooth Speaker,4856.6,4,15,Net Banking,4.0,Delivered,3.0,16512.44,False
ORD-00024,2024-08-28,CUST-1006,Premium,South,Grocery,Organic Rice 5kg,520.8,1,25,COD,4.0,Delayed,4.0,390.6,False
ORD-00025,2024-11-24,CUST-1066,New,Central,Home & Kitchen,Non-stick Pan,3392.39,3,5,Net Banking,9.0,Delivered,5.0,9668.31,False
ORD-00026,2024-06-09,CUST-1133,Premium,South,Electronics,Smartwatch,3059.73,6,25,Net Banking,7.0,Delayed,,13768.78,True
ORD-00027,2024-03-04,CUST-1107,Premium,West,Electronics,Bluetooth Speaker,4040.41,6,25,UPI,5.0,Cancelled,,18181.84,True
ORD-00028,2024-05-26,CUST-1130,Regular,South,Sports,Cricket Bat,1802.48,1,5,Credit Card,4.0,Delayed,5.0,1712.36,False
ORD-00029,2024-06-07,CUST-1116,Regular,Central,Sports,Cycling Gloves,1540.2,2,20,UPI,4.0,Cancelled,4.0,2464.32,False
ORD-00030,2024-12-01,CUST-1142,New,North,Books,Comic Book,520.78,2,0,COD,1.0,Delivered,2.0,1041.56,False
ORD-00031,2024-06-11,CUST-1115,Regular,South,Grocery,Olive Oil 1L,834.34,5,15,Net Banking,8.0,Cancelled,,3545.94,True
ORD-00032,2024-05-26,CUST-1039,Premium,South,Beauty,Lipstick,603.09,1,20,Credit Card,4.0,Delayed,4.0,482.47,False
ORD-00033,2024-04-15,CUST-1097,Regular,North,Beauty,Shampoo,1045.31,4,0,Net Banking,7.0,Delayed,5.0,4181.24,False
ORD-00034,2024-10-06,CUST-1204,Regular,South,Grocery,Olive Oil 1L,1038.79,4,15,COD,10.0,Delivered,4.0,3531.89,False
ORD-00035,2024-10-15,CUST-1054,Regular,East,Sports,Cycling Gloves,399.78,4,15,Net Banking,1.0,Delayed,2.0,1359.25,False
ORD-00036,2024-01-10,CUST-1193,New,South,Home & Kitchen,Storage Box,1069.88,1,10,UPI,9.0,Delivered,1.0,962.89,False
ORD-00037,2024-02-28,CUST-1183,New,South,Sports,Dumbbell Set,1182.62,4,20,Net Banking,10.0,Delivered,4.0,3784.38,False
ORD-00038,2024-07-11,CUST-1217,Premium,Central,Sports,Yoga Mat,3736.88,5,20,Credit Card,7.0,Cancelled,4.0,14947.52,False
ORD-00039,2024-07-08,CUST-1092,Premium,West,Grocery,Organic Rice 5kg,481.92,1,20,UPI,2.0,Delayed,,385.54,True
ORD-00040,2024-10-02,CUST-1022,Regular,West,Fashion,Jacket,2906.78,3,15,UPI,8.0,Delayed,5.0,7412.29,False
ORD-00041,2024-09-10,CUST-1225,Regular,Central,Sports,Cycling Gloves,2772.3,3,0,Credit Card,6.0,Cancelled,3.0,8316.9,False
ORD-00042,2024-10-11,CUST-1177,New,East,Fashion,Cotton T-Shirt,951.66,4,10,Wallet,4.0,Delayed,5.0,3425.98,False
ORD-00043,2024-10-08,CUST-1030,Premium,Central,Beauty,Perfume,1026.02,4,20,UPI,6.0,Delivered,5.0,3283.26,False
ORD-00044,2024-09-25,CUST-1181,Premium,South,Fashion,Handbag,1046.55,5,25,Net Banking,10.0,Delivered,4.0,3924.56,False
ORD-00045,2024-09-08,CUST-1240,Regular,North,Electronics,Smartwatch,2319.11,2,20,Credit Card,2.0,Delayed,1.0,3710.58,False
ORD-00046,2024-03-18,CUST-1158,New,Central,Beauty,Face Serum,1102.08,6,0,COD,3.0,Delayed,4.0,6612.48,False
ORD-00047,2024-10-18,CUST-1169,New,South,Beauty,Shampoo,1569.27,4,5,UPI,10.0,Delivered,1.0,5963.23,False
ORD-00048,2024-12-18,CUST-1175,New,East,Sports,Yoga Mat,879.17,4,10,Wallet,10.0,Cancelled,5.0,3165.01,False
ORD-00049,2024-11-27,CUST-1145,Regular,West,Grocery,Green Tea Pack,567.65,5,0,Credit Card,3.0,Delayed,4.0,2838.25,False
ORD-00050,2024-10-03,CUST-1023,New,Central,Books,Cookbook,674.8,3,15,Wallet,8.0,Delivered,5.0,1720.74,False
ORD-00051,2024-09-22,CUST-1089,Regular,East,Grocery,Almonds 500g,733.87,2,10,Net Banking,8.0,Cancelled,4.0,1320.97,False
ORD-00052,2024-05-27,CUST-1221,Premium,North,Electronics,Smartphone Case,2514.98,6,10,Wallet,7.0,Delayed,,13580.89,True
ORD-00053,2024-09-12,CUST-1031,New,Central,Beauty,Face Serum,459.51,3,15,UPI,8.0,Cancelled,1.0,1171.75,False
ORD-00054,2024-02-17,CUST-1130,Premium,East,Fashion,Running Shoes,1787.27,5,10,COD,4.0,Delayed,2.0,8042.72,False
